topic,counts
Kobe,74512
Pau Gasol,74426
#InternationalWomensDay,611452
Hoy 8,58166
#DiaDeLaMujer,50978
Irene Montero,40158
#IWD2023,386747
Este 8,32788
Yolanda,30562
Edgar,30151
Gekko,27554
Almeida,26210
#8M2023,233173
Georgia,191029
el 8m,184422
Feliz 8M,17746
#YoMeRebelo8M,17255
Irán,145359
Brian,139167
Austria,13492
Ministra,132898
Michelle Yeoh,12603
Caso Negreira,12252
#DiaInternacionalDeLaMujer,119410
#DiaInternacionalDeLaMujer,119410
Federico,11268
#EmbraceEquity,111283
Nord Stream,102647
name, tweet_volume 
